indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
14FPRENY_S3	SUPER__1	1	244374582	66097542	240815093	98.5434	38.2681	36.6	52.8
14FPRENY_S3	SUPER__2	1	212563729	60887062	210931787	99.2323	40.4478	36.6	54.6
14FPRENY_S3	SUPER__3	1	211792393	60874068	209951699	99.1309	40.5848	36.6	54.1
14FPRENY_S3	SUPER__4	1	121730464	34275640	120550430	99.0306	39.8514	36.6	52.9
14FPRENY_S3	SUPER__5	1	113776203	31201659	112196446	98.6115	38.7823	36.6	53.7
14FPRENY_S3	SUPER__6	1	111457381	32241534	110867658	99.4709	41.009	36.6	55.6
14FPRENY_S3	SUPER__7	1	98951147	28470948	97760629	98.7969	40.6883	36.6	54.8
14FPRENY_S3	SUPER__8	1	93510542	26932776	92817633	99.259	40.8901	36.6	55.1
14FPRENY_S3	SUPER__9	1	91912741	26181222	91227029	99.254	40.4099	36.6	55.8
14FPRENY_S3	SUPER__10	1	84231690	24199762	83248208	98.8324	40.609	36.6	53.9
14FPRENY_S3	SUPER__11	1	83622935	24194867	82779764	98.9917	40.7219	36.5	53.8
14FPRENY_S3	SUPER__12	1	81635540	23572744	80818871	98.9996	40.9665	36.6	52.8
14FPRENY_S3	SUPER__13	1	72972725	20157145	71932824	98.5749	39.1228	36.6	51.8
14FPRENY_S3	SUPER__14	1	61507012	16999071	59983914	97.5237	38.2445	36.4	50.1
14FPRENY_S3	SUPER__15	1	60856427	17574485	60408956	99.2647	40.7627	36.6	54.7
14FPRENY_S3	SUPER__16	1	55580494	16030889	55309975	99.5133	40.8149	36.6	56
14FPRENY_S3	SUPER__17	1	54681234	15135399	53710680	98.2251	39.039	36.5	53.7
14FPRENY_S3	SUPER__18	1	52719951	15070801	52238762	99.0873	40.4727	36.6	55.9
14FPRENY_S3	SUPER__19	1	43711415	12410163	43330700	99.129	40.2091	36.6	55.8
14FPRENY_S3	SUPER__20	1	28462450	8015740	28236131	99.2049	39.7097	36.5	54.8
14FPRENY_S3	SUPER__21	1	25775296	5544155	23982392	93.0441	30.0232	36.5	38
14FPRENY_S3	SUPER__22	1	17753772	5005038	17566696	98.9463	39.4037	36.5	54.2
14FPRENY_S3	SUPER__23	1	2327365	665433	2310087	99.2576	40.222	36.4	53.8
20MPRENY_S4	SUPER__1	1	244374582	79290423	241666728	98.8919	46.339	36	52.1
20MPRENY_S4	SUPER__2	1	212563729	72268628	211029502	99.2782	48.4211	36	54.3
20MPRENY_S4	SUPER__3	1	211792393	72274231	210208351	99.2521	48.636	36	53.8
20MPRENY_S4	SUPER__4	1	121730464	22988466	120224843	98.7632	26.3965	36	48.5
20MPRENY_S4	SUPER__5	1	113776203	36671588	111712416	98.1861	45.9719	36	53.6
20MPRENY_S4	SUPER__6	1	111457381	38024051	110958605	99.5525	48.8119	36.1	55.5
20MPRENY_S4	SUPER__7	1	98951147	33341406	97824842	98.8618	48.0978	36	54.7
20MPRENY_S4	SUPER__8	1	93510542	31795481	92910055	99.3578	48.7234	36.1	55.1
20MPRENY_S4	SUPER__9	1	91912741	31029655	91244239	99.2727	48.3424	36.1	55.7
20MPRENY_S4	SUPER__10	1	84231690	29190397	83346735	98.9494	49.2656	36	53.4
20MPRENY_S4	SUPER__11	1	83622935	28469969	82897623	99.1326	48.3672	36	53.8
20MPRENY_S4	SUPER__12	1	81635540	27846248	80791566	98.9662	48.8489	36	52.8
20MPRENY_S4	SUPER__13	1	72972725	24420634	72227404	98.9786	47.8865	36	50.6
20MPRENY_S4	SUPER__14	1	61507012	20107565	60003781	97.556	45.5665	35.9	50.2
20MPRENY_S4	SUPER__15	1	60856427	20795412	60436740	99.3104	48.6307	36	54.7
20MPRENY_S4	SUPER__16	1	55580494	19056792	55352325	99.5895	48.9686	36	55.9
20MPRENY_S4	SUPER__17	1	54681234	17581481	53600133	98.0229	45.6778	36	53.7
20MPRENY_S4	SUPER__18	1	52719951	17875981	52357567	99.3126	48.4535	36.1	55.9
20MPRENY_S4	SUPER__19	1	43711415	14557086	43393937	99.2737	47.5468	36	55.7
20MPRENY_S4	SUPER__20	1	28462450	9476137	28220235	99.149	47.2951	36	55
20MPRENY_S4	SUPER__21	1	25775296	7226137	24595229	95.4217	39.5992	36	35.9
20MPRENY_S4	SUPER__22	1	17753772	5953878	17585622	99.0529	47.2696	36	53.8
20MPRENY_S4	SUPER__23	1	2327365	742004	2314979	99.4678	44.9342	35.9	54.1
602831_S2	SUPER__1	1	244374582	74157141	241184859	98.6947	43.4374	36.2	52.7
602831_S2	SUPER__2	1	212563729	68471221	211006884	99.2676	45.9882	36.2	54.5
602831_S2	SUPER__3	1	211792393	68403234	210225025	99.26	46.1224	36.2	53.9
602831_S2	SUPER__4	1	121730464	38839603	120670506	99.1293	45.7133	36.2	52.9
602831_S2	SUPER__5	1	113776203	34936333	111591828	98.0801	43.9272	36.2	53.9
602831_S2	SUPER__6	1	111457381	35971017	110876465	99.4788	46.2897	36.2	55.6
602831_S2	SUPER__7	1	98951147	31454001	97713696	98.7494	45.4611	36.2	54.9
602831_S2	SUPER__8	1	93510542	29837686	92883537	99.3295	45.8316	36.3	55.2
