NC_044030.1,JAUIRP010000001.1
NC_044004.1,JAUIRP010000002.1
NC_044005.1,JAUIRP010000003.1
NC_044006.1,JAUIRP010000004.1
NC_044008.1,JAUIRP010000005.1
NC_044007.1,JAUIRP010000006.1
NC_044009.1,JAUIRP010000007.1
NC_044010.1,JAUIRP010000008.1
NC_044011.1,JAUIRP010000009.1
NC_044012.1,JAUIRP010000010.1
NC_044013.1,JAUIRP010000011.1
NC_044014.1,JAUIRP010000012.1
NC_044015.1,JAUIRP010000013.1
NC_044016.1,JAUIRP010000014.1
NC_044017.1,JAUIRP010000015.1
NC_044018.1,JAUIRP010000016.1
NC_044019.1,JAUIRP010000017.1
NC_044020.1,JAUIRP010000018.1
NC_044021.1,JAUIRP010000019.1
NC_044022.1,JAUIRP010000020.1
NC_044023.1,JAUIRP010000021.1
NC_044024.1,JAUIRP010000022.1
NC_044025.1,JAUIRP010000023.1
NC_044027.1,JAUIRP010000024.1
NC_044028.1,JAUIRP010000025.1
NC_044026.1,JAUIRP010000026.1
NC_044029.1,JAUIRP010000027.1
